City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hamilton,39.1834,-84.5333,14.89,74,0,4.12,US,1707521885
1,tromso,69.6496,18.957,-3.99,58,40,6.69,NO,1707522513
2,badger,64.8,-147.5333,-3.49,77,100,0.0,US,1707522464
3,adamstown,-25.066,-130.1015,25.29,90,100,10.85,PN,1707522448
4,tobelo,1.7284,128.0095,27.36,80,68,2.54,ID,1707522513
5,port-aux-francais,-49.35,70.2167,7.92,96,76,13.33,TF,1707522448
6,daru,-9.0763,143.2092,28.92,72,55,1.91,PG,1707522461
7,manzini,-26.25,31.5,23.62,98,100,1.61,SZ,1707522514
8,grytviken,-54.2811,-36.5092,4.67,92,87,4.49,GS,1707522446
9,gebeit,21.0667,36.3167,16.2,80,0,0.76,SD,1707522514
10,lebu,-37.6167,-73.65,14.91,88,47,6.56,CL,1707522396
11,san antonio de pale,-1.4014,5.6325,27.99,77,74,1.56,GQ,1707522454
12,pacocha,-17.5833,-71.3333,24.44,83,4,2.7,PE,1707522514
13,invercargill,-46.4,168.35,11.12,91,99,3.58,NZ,1707522515
14,port elizabeth,-33.918,25.5701,19.16,73,0,7.2,ZA,1707522450
15,sant'agnello,40.63,14.3971,16.37,90,0,6.69,IT,1707522515
16,atafu village,-8.5421,-172.5159,29.49,73,88,6.28,TK,1707522458
17,yuzhno-kurilsk,44.0306,145.8556,-7.57,82,100,1.12,RU,1707522515
18,ust-nera,64.5667,143.2,-34.28,100,100,0.19,RU,1707522461
19,kirakira,-10.4544,161.9205,26.97,85,100,8.85,SB,1707521969
20,moranbah,-22.0016,148.0466,28.4,43,0,8.07,AU,1707522516
21,bethel,41.3712,-73.414,7.97,74,34,1.77,US,1707522459
22,mejit,10.2753,170.8646,26.24,80,92,11.09,MH,1707522516
23,afaahiti,-17.75,-149.2833,27.93,80,99,2.91,PF,1707522516
24,bambanglipuro,-7.95,110.2833,26.16,85,20,0.71,ID,1707521943
25,west island,-12.1568,96.8225,27.99,78,59,5.14,CC,1707522449
26,puerto natales,-51.7236,-72.4875,12.75,80,35,2.13,CL,1707522387
27,gadzhiyevo,69.2551,33.3362,-15.14,91,100,2.7,RU,1707522517
28,bandarbeyla,9.4942,50.8122,24.92,76,43,7.32,SO,1707522463
29,albany,42.6001,-73.9662,9.36,67,35,1.75,US,1707522173
30,kapuskasing,49.4169,-82.4331,3.05,93,100,4.63,CA,1707522517
31,olonkinbyen,70.9221,-8.7187,-3.09,62,8,3.48,SJ,1707522517
32,ribeira grande,38.5167,-28.7,13.76,94,100,4.92,PT,1707522444
33,kuching,1.55,110.3333,27.8,95,40,0.45,MY,1707522517
34,north las vegas,36.1989,-115.1175,11.68,62,100,10.73,US,1707522491
35,port douglas,-16.4833,145.4667,30.41,61,73,2.43,AU,1707521937
36,laojunmiao,39.8333,97.7333,-3.12,20,0,2.96,CN,1707522518
37,giyani,-23.3025,30.7187,24.84,67,31,2.19,ZA,1707522518
38,jamestown,42.097,-79.2353,14.77,61,40,3.6,US,1707522443
39,kitee,62.1,30.15,-10.44,96,100,1.91,FI,1707522518
40,longboat key,27.4125,-82.659,21.12,63,0,2.57,US,1707522496
41,blackmans bay,-43.0167,147.3167,16.96,51,28,0.45,AU,1707522452
42,yellowknife,62.456,-114.3525,-17.71,78,40,3.6,CA,1707522279
43,port augusta,-32.5,137.7667,29.6,22,0,3.68,AU,1707521955
44,ilulissat,69.2167,-51.1,-13.99,47,40,4.63,GL,1707522466
45,ancud,-41.8697,-73.8203,14.68,87,12,6.02,CL,1707522467
46,magadan,59.5667,150.8,-26.34,78,15,2.82,RU,1707521934
47,wailua homesteads,22.0669,-159.378,26.44,69,40,5.14,US,1707522458
48,eagleton village,35.7951,-83.9318,9.87,95,100,0.0,US,1707522519
49,saint-pierre,-21.3393,55.4781,25.82,73,0,3.09,RE,1707522520
50,klyuchi,52.2667,79.1667,4.67,67,100,12.34,RU,1707522337
51,east ballina,-28.8667,153.5833,24.33,84,100,3.7,AU,1707522520
52,pokhara,28.2333,83.9833,10.34,21,0,2.55,NP,1707522294
53,holualoa,19.6228,-155.9522,24.91,74,75,4.63,US,1707522520
54,cabo san lucas,22.8909,-109.9124,21.53,68,100,1.03,MX,1707522170
55,hermanus,-34.4187,19.2345,15.45,71,49,4.2,ZA,1707522456
56,puerto ayora,-0.7393,-90.3518,28.98,93,69,1.34,EC,1707522397
57,utrik,11.2278,169.8474,26.1,80,100,10.57,MH,1707522467
58,vila franca do campo,37.7167,-25.4333,15.23,84,100,1.23,PT,1707522521
59,hawaiian paradise park,19.5933,-154.9731,25.57,78,100,6.17,US,1707522463
60,margate,51.3813,1.3862,10.94,93,99,4.47,GB,1707522521
61,pisco,-13.7,-76.2167,26.03,83,0,7.72,PE,1707522521
